active ingredients,trade_name,approval_year,indication,fda_breakthrough,fda_orphan,fda_fast_track,fda_accelerated,ema_ma_date,ema_ma_year,ema_orphan,ema_ma_type,ema_accelerated_assessment,atu,smr_value,asmr_obtained,asmr_value_asked,asmr_date,asmr_year
Abemaciclib,Verzenio,2017,Cancer,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dasabuvir–ombitasvir–paritaprevir– ritonavir ,Viekirax,2014,Hepatitis C genotype 1,1,0,1,0,1/15/15,2015,0,Normal,1,1,important,IV,II,4/1/15,2015
Sofosbuvir-velpatasvir-voxilaprevir,Vosevi,2017,Hepatitis C genotypes 1-6,1,0,1,0,7/26/17,2017,0,Normal,1,0,important,IV,IV,12/6/17,2017
Uridine triacetate ,Xuriden,2015,Hereditary orotic aciduria,1,1,0,0,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA
Niraparib,Zejula,2017,Cancer,1,1,1,0,11/16/17,2017,1,Normal,0,1,On going,NA,III,NA,NA
Elbasvir–grazoprevir ,Zepatier,2016,Hepatitis C genotypes 1 and 4,1,0,0,0,7/22/16,2016,0,Normal,0,1,important,IV,IV,10/19/16,2016
Idelalisib,Zydelig,2014,Cancer,1,1,1,0,9/18/14,2014,0,Normal,0,1,important,III,II,6/17/15,2015
Ceritinib ,Zykadia,2014,Cancer,1,1,0,1,5/6/15,2015,0,Conditional market autorisation,0,1,important,IV,III,10/7/15,2015
Nusinersen,Spinraza,2016,Spinal muscular atrophy,0,1,1,1,5/30/17,2017,1,Normal,1,1,important,III,II,1/31/18,2018
Cabozantinib,Cabometyx,2016,Cancer,1,0,1,0,9/9/16,2016,0,Normal,1,1,important,III,III,1/11/17,2017
Cobimetinib,Cotellic,2015,Cancer,0,1,1,1,11/20/15,2015,0,Normal,0,1,important,III,III,3/16/16,2016
Ivacaftor,Kalydeco,2012,Cystic fibrosis,0,1,1,0,7/23/12,2012,1,Normal,1,1,important,II,I,11/7/12,2012
Tramétinib,Mekinist,2013,Cancer,0,1,1,0,8/25/15,2015,0,Normal,0,0,important,III,II,1/20/16,2016
Délamanide,Deltyba,NA,Tuberculosis,NA,NA,NA,NA,4/28/14,2014,1,Conditional market autorisation,0,1,important,III,III,1/20/16,2016
Téduglutide,Revestive,2012,Gastrology,0,1,0,0,8/30/12,2012,1,Normal,0,1,important,III,II,12/3/14,2014
Bédaquiline,Sirturo,2012,Tuberculosis,0,1,1,1,3/5/14,2014,1,Conditional market autorisation,0,1,important,III,II,7/22/15,2015
Ponatinib,Iclusig,2012,Cancer,0,1,1,1,7/1/13,2015,1,Normal,1,0,important,III,II,1/21/15,2015
Elosulfase alpha,Vimizim,2014,Mucopolysaccharidosis type IVA,0,1,1,0,4/28/14,2014,1,Normal,0,1,important,III,II,10/1/14,2014
Propranolol,Hemangiol,2014,Hemangioma,0,0,0,0,4/23/14,2014,0,Normal,0,1,important,III,II,6/25/14,2014
Dolutégravir,Tivicay,2013,"Infectious disease, HIV",0,0,1,0,1/16/14,2014,0,Normal,0,1,important,III,III,5/28/14,2014
Indigotine,Carmyne,NA,Not approved,NA,NA,NA,NA,8/12/13,2013,0,Normal,0,0,important,III,II,4/23/14,2014
Trastuzumab emtansine,Kadcyla,2013,Cancer,0,0,1,0,12/11/13,2013,0,Normal,0,0,important,II,II,3/19/14,2014
Acide cholique,Orphacol,NA,Not approved,NA,NA,NA,NA,9/13/13,2013,1,Conditional market autorisation,0,1,important,I,I,2/19/14,2014
Pomalidomide,Imnovid,2013,Cancer,0,1,1,1,8/5/13,2013,1,Normal,0,1,important,III,II,1/8/14,2014
Enzalutamide,Xtandi,2012,Cancer,0,0,1,0,6/21/13,2013,0,Normal,0,1,important,III,III,11/20/13,2013
Pertuzumab,Perjeta,2012,Cancer,0,0,0,0,3/4/13,2013,0,Normal,0,0,important,III,II,7/24/13,2013
Crizotinib,Xalkori,2011,Cancer,0,1,1,1,10/23/12,2012,0,Conditional market autorisation,0,1,important,III,II,4/3/13,2013
Brentuximab vedotin,Adcetris,2011,Cancer,0,1,1,1,10/25/12,2012,1,Conditional market autorisation,0,1,important,III,II,3/6/13,2013
Ruxolitinib,Jakavi,2011,Cancer,0,1,1,0,8/23/12,2012,0,Normal,0,1,important,III,NA,1/9/13,2013
vaccin,Nimenrix,,,0,0,0,0,4/20/12,2012,0,Normal,0,0,important,I,I,12/5/12,2012
Vemurafenib,Zelboraf,2011,Cancer,0,1,1,0,2/17/12,2012,0,Normal,0,1,important,III,III,10/3/12,2012
carfilzomib,Kyprolis,2012,Cancer,0,1,1,1,11/19/15,2015,1,Normal,1,0,important,III,II,5/25/16,2016
